country,target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,4,short_expanding_ar2_min36,full,m2_tech,m1_controls,18,2.4227920551069877,3.0865316813973904,-1.6531605220765302,2.0646257785104356,2.641889457707252,1.173477576578046,1.1683046284896486,0.6666666666666666,-1.8780501342071771,0.060374307037193244,-0.9089654830360936,0.8183158269602857,0.8183158269602857
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,5,short_expanding_ar2_min36,full,m2_tech,m1_controls,17,2.2599387461595692,2.6823556667707535,-1.6189110568579803,1.6755595276783837,2.2537561926506062,1.3487666112888796,1.1901711797921133,0.6470588235294118,-3.813858288805466,0.00013681393822290516,-0.7895121476340354,0.7850936336525071,0.7850936336525071
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,6,short_expanding_ar2_min36,full,m2_tech,m1_controls,16,1.9846849180477553,2.5283936186410023,-1.4966991132644303,1.7762913846077009,2.374647175287738,1.117319452903882,1.0647449629373402,0.625,-1.543266385783394,0.12276615590346991,0.676392542001706,0.24939572555619008,0.49879145111238016
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,7,short_expanding_ar2_min36,full,m2_tech,m1_controls,14,1.799925794042922,2.2088127551084527,-1.3223465109990666,1.7524719908877393,2.2682105749401393,1.0270782091821875,0.9738129164514392,0.7857142857142857,0.28030723847652445,0.7792417978052464,1.0302955977701398,0.1514356324850999,0.26501439634453694
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,8,short_expanding_ar2_min36,full,m2_tech,m1_controls,12,1.6282176625054785,2.030865536395158,-1.507225774381423,1.743065915218257,2.2263823616544802,0.9341113541891514,0.9121818297581065,0.75,0.8141502298601243,0.4155588934351061,1.5180542585802488,0.06450036048360014,0.12900072096720028
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,1,short_expanding_ar2_min36,full,m2_tech,m1_controls,21,1.760715932134503,2.1690395417124484,-0.4301834872226574,1.8778263632684211,2.194592322545114,0.9376351118374526,0.9883564794380437,0.6666666666666666,0.136576731950102,0.8913653693446124,1.0798098833368621,0.14011342457476922,0.15622044515130745
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,2,short_expanding_ar2_min36,full,m2_tech,m1_controls,20,2.4704794534292303,2.8465010234370562,-0.5205682541672625,2.3520080519866515,2.7266528435079693,1.050370321369653,1.0439543230501234,0.3,-0.6359490282987349,0.5248096451980525,0.11456347564536906,0.45439556562574235,0.45439556562574235
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,3,short_expanding_ar2_min36,full,m2_tech,m1_controls,19,2.062678224672768,2.7305873389148445,-0.6125714810070029,1.8764314118739789,2.5071187243417605,1.0992558596174777,1.0891336387078179,0.7894736842105263,-0.7366780600860372,0.4613181520996722,0.7816938256222813,0.2171972655847024,0.2171972655847024
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,4,short_expanding_ar2_min36,full,m2_tech,m1_controls,18,1.9842609416577761,2.5318009018479883,-0.5635788628164637,1.8028444078385861,2.3747295871678054,1.1006279482746315,1.0661428212832909,0.5555555555555556,-0.5883780439538765,0.5562785716440679,0.5173456855495386,0.3024574338346031,0.3024574338346031
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,5,short_expanding_ar2_min36,full,m2_tech,m1_controls,17,1.501394753760593,2.000463214481122,-0.013804146828852351,1.6025659035612014,2.2692549698432933,0.9368692734721317,0.88155065916602,0.7647058823529411,1.1266200570038958,0.25990315530493924,1.4550673022581824,0.07282531511770035,0.07282531511770035
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,6,short_expanding_ar2_min36,full,m2_tech,m1_controls,16,1.8204753753839462,2.1969448234136197,0.41545842194627836,1.995016819579826,2.4689164820365543,0.9125112918934487,0.8898416934708981,0.8125,1.2874142186708513,0.19794995102918833,1.4825325668528577,0.06909932239685246,0.13819864479370492
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,7,short_expanding_ar2_min36,full,m2_tech,m1_controls,14,1.87144082775186,2.1038834910109587,0.2038262865786975,1.9806114971345323,2.2588221195653646,0.9448803212843023,0.9314073351715634,0.6428571428571429,1.184607206403948,0.236172786421452,1.3818311413270954,0.0835117773807829,0.1670235547615658
China,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,8,short_expanding_ar2_min36,full,m2_tech,m1_controls,12,1.4961914290496594,1.777144081377368,-0.04695802761625104,1.6687241134977195,1.947611537963328,0.8966080234278967,0.9124735845607986,0.75,0.8405119754054531,0.4006213899781922,1.1948364488976866,0.11607546825312373,0.11607546825312373
Taiwan,headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar2,full,m2_tech,m1_controls,63,1.9476114545728016,2.425493203851393,-0.5213840649187016,1.8550699472290126,2.317788996180412,1.0498857239760806,1.0464685128147866,0.6349206349206349,-1.497986308271383,0.13413680778228673,-0.6243125395082441,0.7337888247958473,0.8274741276156492
Taiwan,headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar2,full,m2_tech,m1_controls,61,2.1745258265658887,2.763144940865533,-0.7664035756751317,2.0375889291269393,2.578191997849123,1.0672053599631717,1.071737459107277,0.7049180327868853,-1.3713757691770139,0.17025784697966895,-0.3553136394632942,0.6388226807763696,0.8233626064532296
