target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GY_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,0.8734220945286804,0.5416666666666666,0.0298567970013539,0.1194271880054158
cpi_L7GY_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,0.8202879451436219,0.5217391304347826,0.050636168742902,0.2025446749716083
cpi_L7GY_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,0.85857930134732,0.4761904761904761,0.0719761649067086,0.2879046596268344
cpi_L7GY_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,1.0328615329711883,0.5230769230769231,0.3115647271205509,0.4154196361607345
cpi_L7GY_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,1.0882656637477195,0.492063492063492,0.2825602684278094,0.5651205368556189
cpi_L7GY_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.0796723501751626,0.4590163934426229,0.1680742901213608,0.3361485802427216
cpi_L7GY_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0340163658249095,0.5230769230769231,0.7396168625508394,0.7396168625508394
cpi_L7GY_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0550085822426765,0.4761904761904761,0.8727250432522728,0.8727250432522728
cpi_L7GY_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,1.037309535149236,0.5901639344262295,0.7007022846595705,0.7654705804348231
cpi_L7H9_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.0490364741262663,0.6153846153846154,0.5132197423752788,0.9118201560042728
cpi_L7H9_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.076155159893968,0.6825396825396826,0.8138797335623,0.9879958584729476
cpi_L7H9_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.0661620364453754,0.7377049180327869,0.655344900549527,0.9848277483534073
cpi_L7H9_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.061295498399733,0.75,0.9494272396587772,0.9494272396587772
cpi_L7H9_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.085638936534093,0.6521739130434783,0.9286462982020786,0.9879958584729476
cpi_L7H9_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.1150133661359176,0.8095238095238095,0.9013327664095376,0.9848277483534073
cpi_L7H9_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,1.0287713955949025,0.6153846153846154,0.6742413750789865,0.9118201560042728
cpi_L7H9_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,1.0486526819613204,0.6666666666666666,0.4167720058201293,0.9879958584729476
cpi_L7H9_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.038436776713737,0.639344262295082,0.3556161631046587,0.9848277483534073
cpi_L7H9_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0294876265730228,0.6,0.6838651170032046,0.9118201560042728
cpi_L7H9_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0418978878845984,0.6507936507936508,0.9879958584729476,0.9879958584729476
cpi_L7H9_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,1.0244562743062853,0.7377049180327869,0.9848277483534073,0.9848277483534073
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar2,64,1.017039849613535,0.65625,0.4310229391816788,0.5746972522422384
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar2,62,1.0612927230555809,0.5806451612903226,0.6891658502888119,0.7413872235853829
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar2,60,1.0970328079592928,0.6166666666666667,0.7048210834610056,0.7048210834610056
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar2,24,1.1272938547249347,0.625,0.6993197146780885,0.6993197146780885
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar2,23,0.9603265562615404,0.6086956521739131,0.0270093270055649,0.0730651544709687
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar2,21,1.0223071381656934,0.5238095238095238,0.4946696811611862,0.6595595748815817
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar2,64,0.996433739501066,0.6875,0.0452334957613989,0.1238674983664533
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar2,62,0.975286721926991,0.6774193548387096,0.0365325772354843,0.0730651544709687
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar2,60,0.965046381892818,0.6166666666666667,0.05882606376801,0.23530425507204
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar2,64,0.9905269839125824,0.65625,0.0619337491832266,0.1238674983664533
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar2,62,1.0267800540686836,0.6612903225806451,0.7413872235853829,0.7413872235853829
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar2,60,0.995420782868128,0.7,0.3190603613304231,0.6381207226608463
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar2,64,1.002004989174613,0.515625,0.1475595532108423,0.5902382128433693
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar2,62,1.0184593610052628,0.532258064516129,0.3426436304020623,0.6852872608041246
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar2,60,1.0398317433496616,0.5666666666666667,0.8465187137535657,0.9089321941609056
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar2,24,1.038732795909848,0.5833333333333334,0.960275159148419,0.9674582110281008
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar2,23,1.086727953432597,0.5217391304347826,0.9284310552900704,0.9736898298145414
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar2,21,0.9810298489338688,0.6190476190476191,0.0562743506838168,0.2250974027352672
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar2,64,1.0175118293001577,0.578125,0.9674582110281008,0.9674582110281008
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar2,62,1.0159483826246103,0.5967741935483871,0.9736898298145414,0.9736898298145414
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar2,60,1.0253426225716282,0.5666666666666667,0.9089321941609056,0.9089321941609056
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar2,64,1.0047867948669509,0.578125,0.3668646343858209,0.7337292687716419
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar2,62,0.996353333359556,0.5806451612903226,0.2918280905094766,0.6852872608041246
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar2,60,1.0116265620270313,0.5333333333333333,0.8892715822498356,0.9089321941609056
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar2,64,1.0501466493620168,0.46875,0.9622468006653604,0.9622468006653604
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar2,62,1.0807371524264526,0.5483870967741935,0.9225655887965736,0.9225655887965736
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar2,60,1.0905135975051452,0.5333333333333333,0.8816966409880412,0.8816966409880412
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar2,24,0.9053727201131168,0.625,0.0562854830998981,0.2251419323995924
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar2,23,0.7835153058014795,0.6086956521739131,0.0472832240769653,0.1891328963078614
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar2,21,0.7304482344849947,0.6666666666666666,0.050033147659804,0.2001325906392163
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar2,64,1.0174541655660991,0.515625,0.4737956525429352,0.8918348009588414
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar2,62,1.050638964035076,0.5806451612903226,0.6515357593098315,0.9225655887965736
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar2,60,1.066906380755799,0.5333333333333333,0.6696200177623342,0.8816966409880412
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar2,64,1.009454960115716,0.46875,0.6688761007191311,0.8918348009588414
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar2,62,1.0146663616282752,0.532258064516129,0.8132106160679569,0.9225655887965736
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar2,60,1.01144023803746,0.5166666666666667,0.698501371905222,0.8816966409880412
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar2,64,1.024715694216182,0.5625,0.9797602820958032,0.9797602820958032
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar2,62,1.0484102700421107,0.5645161290322581,0.932867595087777,0.932867595087777
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar2,60,1.0510446703851792,0.55,0.8517617107869534,0.9909850630370624
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar2,24,1.037420467298715,0.4583333333333333,0.8240792061575609,0.9797602820958032
