target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,uk_ipi_c261_noneu_12m_pct,12,expanding_ar1,43,0.9665501053640364,0.813953488372093,0.0207643361974591,0.1245860171847551
headline_12m_pct,uk_ipi_c262_12m_pct,1,expanding_ar1,57,1.0351427312336003,0.5789473684210527,0.9189899892583918,0.9482039517066811
headline_12m_pct,uk_ipi_c262_12m_pct,2,expanding_ar1,56,1.0539485653342726,0.625,0.9983065448527628,0.9983065448527628
headline_12m_pct,uk_ipi_c262_12m_pct,3,expanding_ar1,55,1.0365577348026438,0.6909090909090909,0.4992942651303588,0.5991531181564306
headline_12m_pct,uk_ipi_c262_12m_pct,4,expanding_ar1,54,1.0404463804379849,0.6481481481481481,0.1632956711385429,0.1959548053662515
headline_12m_pct,uk_ipi_c262_12m_pct,5,expanding_ar1,53,1.0407664411968272,0.660377358490566,0.1891956031720243,0.2270347238064291
headline_12m_pct,uk_ipi_c262_12m_pct,6,expanding_ar1,52,1.063488408900772,0.6538461538461539,0.1822284199437744,0.3285807605453593
headline_12m_pct,uk_ipi_c262_12m_pct,7,expanding_ar1,51,1.1207808389236784,0.8235294117647058,0.1309282859523641,0.2725944145955092
headline_12m_pct,uk_ipi_c262_12m_pct,8,expanding_ar1,50,1.216534844160566,0.74,0.1310866590742788,0.3932599772228367
headline_12m_pct,uk_ipi_c262_12m_pct,9,expanding_ar1,49,1.593370120642917,0.7142857142857143,0.1677165117159437,0.4622139272648997
headline_12m_pct,uk_ipi_c262_12m_pct,10,expanding_ar1,47,1.7794938089347163,0.8085106382978723,0.2583796607384205,0.6680401775213892
headline_12m_pct,uk_ipi_c262_12m_pct,11,expanding_ar1,45,2.086201555008933,0.7555555555555555,0.5969922654163569,0.9059263155935344
headline_12m_pct,uk_ipi_c262_12m_pct,12,expanding_ar1,43,1.838755243703382,0.6976744186046512,0.8255834085593424,0.9657559638563382
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,1,expanding_ar1,57,1.0227578943243414,0.6666666666666666,0.7293980507817204,0.9482039517066811
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,2,expanding_ar1,56,1.0458144511222816,0.6607142857142857,0.7763057348697217,0.9983065448527628
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,3,expanding_ar1,55,1.0324280279022446,0.6545454545454545,0.107515947704099,0.3225478431122972
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,4,expanding_ar1,54,1.0500295815145848,0.6296296296296297,0.0462022383843711,0.1161369785111237
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,5,expanding_ar1,53,1.0943427324459083,0.6792452830188679,0.0818125923082794,0.2270347238064291
