cdid,title,dataset,release_date,retrieved_at_utc,source_url,sha256,bytes
L7H9,CPI INDEX 09.3.1.1 Games and hobbies 2015=100,MM23,22-07-2026,2026-07-29T20:32:36.587892+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7h9%2Fmm23,d3358fbdd954fc70e728a8d1cb4de1782204cfa523f1f51afceaf296fe90d961,3707
L8C3,CPI WEIGHTS 08.2.0.2 Mobile telephone equipment,MM23,22-07-2026,2026-07-29T20:32:37.629423+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8c3%2Fmm23,a74ea5b56af1cd27439949de79575da94216d97f633c5a002474df0c668fcdc3,393
L8CA,"CPI WEIGHTS 09.1.1.1 Equipment for the reception, recording and reproduction of sound",MM23,22-07-2026,2026-07-29T20:34:55.780877+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8ca%2Fmm23,56c0ffc2a4098edbcfabfdf6fd5944b224cc4592f7294642792d306621a0b48a,431
L8CD,"CPI WEIGHTS 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision",MM23,22-07-2026,2026-07-29T20:34:57.838186+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8cd%2Fmm23,953b61cd4af7756b52f637b38b108b1e8ca28fc326dd5587a760557885144a3b,442
L8CE,CPI WEIGHTS 09.1.1.3 Portable sound and vision devices,MM23,22-07-2026,2026-07-29T20:34:59.899559+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8ce%2Fmm23,cf817600f152d93eb65c448f9018fb3d9491eece5cc5dee353e778899d5479fd,400
L8CF,"CPI WEIGHTS 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture",MM23,22-07-2026,2026-07-29T20:35:01.962674+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8cf%2Fmm23,e2dbaafc0f6e7104bd23264db24300bea4207d1f64705ff2871bc1d88234e8b5,449
L8CH,CPI WEIGHTS 09.1.3.1 Personal computers,MM23,22-07-2026,2026-07-29T20:35:04.015553+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8ch%2Fmm23,03170fecaaff6f3bde549881bd84c653c060e9eadd4b4c1e01025c306684be4b,385
L8CI,CPI WEIGHTS 09.1.3.2 Accessories for information processing equipment,MM23,22-07-2026,2026-07-29T20:35:06.079532+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8ci%2Fmm23,fd17be540ca00ffa72379875621bb29d4fb1a57c2959908bf941a8f186e538a7,415
L8CM,CPI WEIGHTS 09.1.4.9 Other recording media,MM23,22-07-2026,2026-07-29T20:35:08.146286+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8cm%2Fmm23,1facae89d37c3f6073189c352642cd9a143882fac2d4ebf179b548fc42959afa,388
L8CT,CPI WEIGHTS 09.3.1.1 Games and hobbies,MM23,22-07-2026,2026-07-29T20:35:10.212390+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl8ct%2Fmm23,ecc7b4c61c9d9c9a0593dd51ac582860552a968b2391c80d1d9bbf10e32b9718,385
