target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,ex_pandemic,m2_tech,m1_controls,42,3.3890990389591815,4.475709421510394,0.32465171887124555,3.387121274965131,4.458809749102288,1.0005839070507065,1.003790175710347,0.7619047619047619,-0.9115843014636681,0.3619875894337866,-0.3902704628222266,0.6518317188539507,0.6518317188539507
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,ex_pandemic,m2_tech,m0_ar,42,3.3890990389591815,4.475709421510394,0.32465171887124555,3.3842016216948823,4.436731988173703,1.0014471411020265,1.0087851674251649,0.7619047619047619,-0.856634505914439,0.3916469094986871,-0.28547981398927735,0.612361716328581,0.612361716328581
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,full,m1_controls,m0_ar,63,5.013980566129786,6.267482154541979,-1.9367416527458172,3.6881678065532877,4.665066927243018,1.3594773418987987,1.3434924412211946,0.6984126984126984,-3.0866579383887722,0.0020242038122201267,-2.0686965683605676,0.98071271527867,0.98071271527867
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,full,m2_tech,m1_controls,63,5.586171372784173,7.043929557105976,-2.557974969746019,5.013980566129786,6.267482154541979,1.114119071485762,1.1238850599680308,0.6349206349206349,-2.8305453582247235,0.004646872182834625,-2.7840399271917615,0.9973156787532439,0.9973156787532439
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,full,m2_tech,m0_ar,63,5.586171372784173,7.043929557105976,-2.557974969746019,3.6881678065532877,4.665066927243018,1.5146196338622213,1.5099310828684787,0.6349206349206349,-3.0915625212689886,0.001991060480815195,-2.089358806879788,0.9816622818019723,0.9816622818019723
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,pandemic_2020_2022,m1_controls,m0_ar,21,7.762616518406077,8.556778802221098,-6.931108146954133,3.6417201828039687,4.753284303030727,2.1315796186266005,1.8001824121408512,0.6190476190476191,-4.525356868065804,6.029367666129125e-06,-2.3659763601158077,0.991008703693776,0.991008703693776
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,21,9.310726931037305,10.173722049947072,-8.66837339279173,7.762616518406077,8.556778802221098,1.1994315201530923,1.1889663487977813,0.5714285714285714,-3.853868571215456,0.0001162660233757669,-3.7654365745518126,0.9999168708375242,0.9999168708375242
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,21,9.310726931037305,10.173722049947072,-8.66837339279173,3.6417201828039687,4.753284303030727,2.556683782296652,2.140356309733091,0.5714285714285714,-4.555692040798667,5.221338710361324e-06,-2.2990187240073765,0.989248061949499,0.9899171293563152
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,post_2022,m1_controls,m0_ar,42,3.639662589991643,4.723639179825561,0.5604415943583405,3.711391618427947,4.620326646544135,0.980673279510534,1.0223604392470174,0.7380952380952381,-0.7256181052317151,0.468072918776528,-0.33018850737180444,0.6293712349377254,0.8391616465836339
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,post_2022,m2_tech,m1_controls,42,3.723893593657606,4.761628422443016,0.4972242417768373,3.639662589991643,4.723639179825561,1.0231425308207365,1.0080423675838122,0.6666666666666666,-1.5832545131080875,0.11336346601198931,-1.24071809183173,0.8926450457567171,0.9485609663623095
