date,year,component_id,component_label,country,value,net_mass
2016-07-01,2016,D7EO,Photographic and optical equipment,China,11028636.0,455408.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4492965.0,131435.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Japan,1856701.0,10929.0
2016-07-01,2016,D7EO,Photographic and optical equipment,South Korea,1049024.0,17224.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Taiwan,1151118.0,15999.0
2016-08-01,2016,D7EO,Photographic and optical equipment,China,13230838.0,561944.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Hong Kong,3815494.0,106782.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Japan,2069427.0,14846.0
2016-08-01,2016,D7EO,Photographic and optical equipment,South Korea,1601836.0,16270.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Taiwan,1005701.0,10070.0
2016-09-01,2016,D7EO,Photographic and optical equipment,China,15767095.0,628309.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4794423.0,122184.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Japan,2237467.0,8742.0
2016-09-01,2016,D7EO,Photographic and optical equipment,South Korea,1313808.0,14098.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Taiwan,1794114.0,19074.0
2016-10-01,2016,D7EO,Photographic and optical equipment,China,17890994.0,641847.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Hong Kong,5018819.0,138693.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Japan,2404487.0,13649.0
2016-10-01,2016,D7EO,Photographic and optical equipment,South Korea,1726046.0,18577.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Taiwan,1589633.0,18067.0
2016-11-01,2016,D7EO,Photographic and optical equipment,China,18572595.0,617097.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Hong Kong,6819869.0,154438.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Japan,3621618.0,18686.0
2016-11-01,2016,D7EO,Photographic and optical equipment,South Korea,1906143.0,18975.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Taiwan,1695478.0,17653.0
2016-12-01,2016,D7EO,Photographic and optical equipment,China,15957995.0,586842.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Hong Kong,9629108.0,167746.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Japan,3872496.0,23959.0
2016-12-01,2016,D7EO,Photographic and optical equipment,South Korea,1820078.0,23913.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Taiwan,1442861.0,34827.0
2017-01-01,2017,D7EO,Photographic and optical equipment,China,17606370.0,645416.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Hong Kong,3477467.0,92436.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Japan,2490533.0,18732.0
2017-01-01,2017,D7EO,Photographic and optical equipment,South Korea,2024779.0,27006.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Taiwan,1441743.0,16534.0
2017-02-01,2017,D7EO,Photographic and optical equipment,China,13857141.0,437275.0
2017-02-01,2017,D7EO,Photographic and optical equipment,Hong Kong,2995718.0,92149.0
2017-02-01,2017,D7EO,Photographic and optical equipment,Japan,1951425.0,11045.0
2017-02-01,2017,D7EO,Photographic and optical equipment,South Korea,1589967.0,17230.0
2017-02-01,2017,D7EO,Photographic and optical equipment,Taiwan,991727.0,12392.0
2017-03-01,2017,D7EO,Photographic and optical equipment,China,16217825.0,476381.0
2017-03-01,2017,D7EO,Photographic and optical equipment,Hong Kong,4308184.0,82592.0
2017-03-01,2017,D7EO,Photographic and optical equipment,Japan,2142841.0,11371.0
2017-03-01,2017,D7EO,Photographic and optical equipment,South Korea,1221092.0,16490.0
2017-03-01,2017,D7EO,Photographic and optical equipment,Taiwan,1122990.0,21880.0
2017-04-01,2017,D7EO,Photographic and optical equipment,China,13628679.0,432076.0
2017-04-01,2017,D7EO,Photographic and optical equipment,Hong Kong,4413191.0,96457.0
2017-04-01,2017,D7EO,Photographic and optical equipment,Japan,2340380.0,14506.0
2017-04-01,2017,D7EO,Photographic and optical equipment,South Korea,1211401.0,12142.0
2017-04-01,2017,D7EO,Photographic and optical equipment,Taiwan,1180501.0,9900.0
2017-05-01,2017,D7EO,Photographic and optical equipment,China,16722040.0,613603.0
2017-05-01,2017,D7EO,Photographic and optical equipment,Hong Kong,5400397.0,142962.0
2017-05-01,2017,D7EO,Photographic and optical equipment,Japan,2585824.0,9830.0
2017-05-01,2017,D7EO,Photographic and optical equipment,South Korea,1505830.0,19391.0
2017-05-01,2017,D7EO,Photographic and optical equipment,Taiwan,2021864.0,42700.0
2017-06-01,2017,D7EO,Photographic and optical equipment,China,15636618.0,520149.0
2017-06-01,2017,D7EO,Photographic and optical equipment,Hong Kong,5911061.0,124066.0
2017-06-01,2017,D7EO,Photographic and optical equipment,Japan,2742719.0,14848.0
2017-06-01,2017,D7EO,Photographic and optical equipment,South Korea,1303461.0,15099.0
2017-06-01,2017,D7EO,Photographic and optical equipment,Taiwan,1510660.0,13609.0
2017-07-01,2017,D7EO,Photographic and optical equipment,China,18662692.0,494603.0
2017-07-01,2017,D7EO,Photographic and optical equipment,Hong Kong,4777913.0,105085.0
2017-07-01,2017,D7EO,Photographic and optical equipment,Japan,2048434.0,9394.0
2017-07-01,2017,D7EO,Photographic and optical equipment,South Korea,915015.0,13435.0
2017-07-01,2017,D7EO,Photographic and optical equipment,Taiwan,2310296.0,15851.0
2017-08-01,2017,D7EO,Photographic and optical equipment,China,18322313.0,608382.0
2017-08-01,2017,D7EO,Photographic and optical equipment,Hong Kong,6178223.0,128171.0
2017-08-01,2017,D7EO,Photographic and optical equipment,Japan,1798607.0,11236.0
2017-08-01,2017,D7EO,Photographic and optical equipment,South Korea,1444147.0,17720.0
2017-08-01,2017,D7EO,Photographic and optical equipment,Taiwan,1362091.0,15665.0
2017-09-01,2017,D7EO,Photographic and optical equipment,China,15380983.0,664637.0
2017-09-01,2017,D7EO,Photographic and optical equipment,Hong Kong,10520947.0,208432.0
2017-09-01,2017,D7EO,Photographic and optical equipment,Japan,2957750.0,14839.0
2017-09-01,2017,D7EO,Photographic and optical equipment,South Korea,1321303.0,16002.0
2017-09-01,2017,D7EO,Photographic and optical equipment,Taiwan,1353804.0,14555.0
2017-10-01,2017,D7EO,Photographic and optical equipment,China,18847155.0,748508.0
2017-10-01,2017,D7EO,Photographic and optical equipment,Hong Kong,6067328.0,173226.0
2017-10-01,2017,D7EO,Photographic and optical equipment,Japan,2495969.0,9937.0
2017-10-01,2017,D7EO,Photographic and optical equipment,South Korea,1763378.0,26042.0
2017-10-01,2017,D7EO,Photographic and optical equipment,Taiwan,2398085.0,25081.0
2017-11-01,2017,D7EO,Photographic and optical equipment,China,21503351.0,683832.0
2017-11-01,2017,D7EO,Photographic and optical equipment,Hong Kong,9212634.0,192987.0
2017-11-01,2017,D7EO,Photographic and optical equipment,Japan,3374373.0,16335.0
2017-11-01,2017,D7EO,Photographic and optical equipment,South Korea,1558892.0,15561.0
2017-11-01,2017,D7EO,Photographic and optical equipment,Taiwan,2037817.0,16837.0
2017-12-01,2017,D7EO,Photographic and optical equipment,China,18898169.0,667638.0
2017-12-01,2017,D7EO,Photographic and optical equipment,Hong Kong,6735079.0,142553.0
2017-12-01,2017,D7EO,Photographic and optical equipment,Japan,2304730.0,12067.0
2017-12-01,2017,D7EO,Photographic and optical equipment,South Korea,1097366.0,10445.0
2017-12-01,2017,D7EO,Photographic and optical equipment,Taiwan,1370667.0,15270.0
2018-01-01,2018,D7EO,Photographic and optical equipment,China,18079603.0,673634.0
2018-01-01,2018,D7EO,Photographic and optical equipment,Hong Kong,4013024.0,128507.0
2018-01-01,2018,D7EO,Photographic and optical equipment,Japan,2277626.0,8540.0
2018-01-01,2018,D7EO,Photographic and optical equipment,South Korea,1141972.0,11458.0
2018-01-01,2018,D7EO,Photographic and optical equipment,Taiwan,1812705.0,17233.0
2018-02-01,2018,D7EO,Photographic and optical equipment,China,13967498.0,510899.0
2018-02-01,2018,D7EO,Photographic and optical equipment,Hong Kong,2980803.0,73314.0
2018-02-01,2018,D7EO,Photographic and optical equipment,Japan,1940636.0,12886.0
2018-02-01,2018,D7EO,Photographic and optical equipment,South Korea,932854.0,11355.0
