target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,full,a1_ardl_ols,a0_controls_ols,111,3.337350383187656,3.9549085083099924,-0.5156226932685019,2.587570240772434,3.4894446314830865,1.2897622374074762,1.1333919651933477,0.9158489721587946,1.463179152645583,12,2000,0.5135135135135135,-1.2477877331348497,0.21210880212720618,2.5885836113245504,0.004818577394570961,0.004818577394570961
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ridge,111,3.0865693789288047,3.78408838269175,-0.7949957370516623,2.503944224358379,3.315061817109697,1.2326829603082392,1.1414835051223822,1.0353878139483248,1.2895841962624943,12,2000,0.5495495495495496,-2.0912880140266807,0.0365022536136379,0.7829473569213483,0.21682901318410486,0.21682901318410486
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ols,111,3.0865693789288047,3.78408838269175,-0.7949957370516623,2.587570240772434,3.4894446314830865,1.1928446734676508,1.0844385804406456,0.945065093410863,1.2644616828509605,12,2000,0.5495495495495496,-0.9062998788521255,0.3647771496265588,2.2698053386136134,0.011609698261351685,0.011609698261351685
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ols,a0_controls_ols,40,3.6289606187027603,4.188121907433211,-1.4659532192154194,2.6426333435640372,3.7466368912169323,1.3732365208896116,1.1178350155178451,0.7173900219339568,2.1702701475203483,12,2000,0.725,-0.504901063008913,0.6136283274692602,2.6009769611012197,0.004647934832581755,0.004647934832581755
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ridge,40,3.7922453497660698,4.288290925408674,-1.6159609054902855,2.599128128916207,3.3750224133086375,1.4590451727161957,1.270596280634691,1.0589353386733462,1.7495581610428341,12,2000,0.65,-1.8112051854852678,0.07010909582627102,0.6400790931120134,0.26106059015753247,0.26106059015753247
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ols,40,3.7922453497660698,4.288290925408674,-1.6159609054902855,2.6426333435640372,3.7466368912169323,1.4350251649559476,1.14457073100986,0.8554196251560519,1.7527377517806995,12,2000,0.65,-0.7148153566280432,0.47472314477909505,1.7658710470978323,0.038708742792503296,0.038708742792503296
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ols,a0_controls_ols,36,3.676740341639668,4.383067100099615,1.044694848373504,3.2887882263320227,4.058929898220423,1.1179620238851096,1.079857797500101,0.957369083063559,1.3887828798655142,12,2000,0.3611111111111111,-0.7950119070207278,0.4266065758941422,1.093290572381594,0.13713312043504733,0.13713312043504733
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ridge,36,3.3376890699464385,4.214935322452079,0.2727243682158616,3.1604480913960264,4.00788114646987,1.056080964921693,1.0516617555299965,0.972231545782187,1.2169773518055054,12,2000,0.4722222222222222,-1.1187943882520126,0.2632278663094738,0.18404624998121025,0.4269885861762499,0.4269885861762499
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ols,36,3.3376890699464385,4.214935322452079,0.2727243682158616,3.2887882263320227,4.058929898220423,1.0148689548396232,1.0384351117520048,0.9271094178154323,1.212042975542665,12,2000,0.4722222222222222,-0.5896354248593857,0.5554350965894523,1.6282352654421077,0.05173750489436445,0.05173750489436445
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ols,a0_controls_ols,35,2.6549947281911814,3.1303302496081065,-1.0344287064466586,1.8033881952921689,2.3722954342608347,1.4722258552663106,1.3195364305809838,1.1501278565636708,1.6312783637304467,12,2000,0.42857142857142855,-2.2454009684783576,0.024742403303660346,-0.287376306583755,0.613087899487961,0.613087899487961
