origin,scenario,scenario_label,horizon,factor_z,baseline_factor_z,innovation_z,implied_c26_pressure_pp,current_observed_c26_pressure_pp,factor_to_pressure_slope,factor_to_pressure_r_squared
2026-06-01,sustained,Sustained pressure,1,1.0237014322935047,1.1126484540320427,-0.2816049183440114,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,2,1.0237014322935047,1.0647564715890607,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,3,1.0237014322935047,0.9714328271963013,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,4,1.0237014322935047,0.8689076478748108,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,5,1.0237014322935047,0.7708720665502133,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,6,1.0237014322935047,0.6818946048192773,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,7,1.0237014322935047,0.602925344060334,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,8,1.0237014322935047,0.5335446183010992,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,9,1.0237014322935047,0.4728734564674615,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,10,1.0237014322935047,0.419934960516819,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,11,1.0237014322935047,0.3737913348617298,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,12,1.0237014322935047,0.33359005409173514,0.23121362033377732,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,0,1.0237014322935047,1.0237014322935047,1.1218637301219851,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,1,0.8530845269112539,1.1126484540320427,-0.8217754464760353,2.411619668358482,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,2,0.6824676215290031,1.0647564715890607,-0.15629170700066772,1.6909724848406569,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,3,0.5118507161467524,0.9714328271963013,-0.19733063902634507,0.9703253013228323,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,4,0.34123381076450154,0.8689076478748108,-0.23836957105202242,0.24967811780500737,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,5,0.17061690538225072,0.7708720665502133,-0.27940850307769977,-0.4709690657128176,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,6,0.0,0.6818946048192773,-0.32044743510337675,-1.1916162492306421,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,7,-0.16666666666666666,0.602925344060334,-0.34897997142070386,-1.8955785186818863,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,8,-0.3333333333333333,0.5335446183010992,-0.3935535120794583,-2.5995407881331296,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,9,-0.5,0.4728734564674615,-0.43364228281970607,-3.3035030575843747,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,10,-0.6666666666666666,0.419934960516819,-0.47373105355995343,-4.007465327035619,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,11,-0.8333333333333333,0.3737913348617298,-0.5138198243002011,-4.711427596486862,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,retrenchment,Cyclical retrenchment,12,-1.0,0.33359005409173514,-0.5539085950404491,-5.415389865938107,3.132266851876307,4.223773616707465,0.9890006827950034
