target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,36,7.211764048245,8.583045653419958,-0.23838804007697434,5.630628219503248,7.319192911372205,1.2808098434318655,1.172676517390878,0.3055555555555556,-3.2217536234677175,0.0012740864282564282,-3.1015106014127394,0.9990373201097645,0.9990373201097645
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,36,7.211764048245,8.583045653419958,-0.23838804007697434,4.199081183145714,5.339481915710636,1.717462400391686,1.6074678758936547,0.3055555555555556,-3.1599592813818966,0.001577911892279701,-2.259276532005428,0.988066905609843,0.9961592093414634
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,post_2022,m1_controls,m0_ar,41,2.6452713838237285,3.7697303808981024,-1.292494148175651,2.8100393786799005,3.877835250835582,0.9413645246019375,0.9721223664893486,0.6341463414634146,0.5696332259681399,0.5689264880756418,1.3888233343131733,0.08244323890936747,0.10305404863670933
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,post_2022,m2_tech,m1_controls,41,2.669986702109082,3.799460839931287,-1.1472585696478756,2.6452713838237285,3.7697303808981024,1.009343207066198,1.0078866274319866,0.6585365853658537,-1.035773602456796,0.3003077754729576,-0.6030354709271528,0.7267574537441329,0.7781308664034509
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,post_2022,m2_tech,m0_ar,41,2.669986702109082,3.799460839931287,-1.1472585696478756,2.8100393786799005,3.877835250835582,0.9501598882800667,0.9797891334121513,0.6585365853658537,0.3781146385993006,0.7053454341711982,1.4675361077989242,0.07111513712616563,0.08889392140770704
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,ex_pandemic,m1_controls,m0_ar,93,3.862671822017575,5.087577621014436,0.4111217506563496,3.232820010967912,4.412414056609133,1.194830460376012,1.1530145529733342,0.5483870967741935,-1.0421376199156214,0.2973478791129005,0.27571665165886505,0.3913828525118368,0.39394179344040825
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,ex_pandemic,m2_tech,m1_controls,93,3.7721963788556168,4.762092627919798,-0.07518855935174379,3.862671822017575,5.087577621014436,0.9765769790106837,0.936023581881049,0.5376344086021505,0.7713754850296213,0.4404844015809132,1.0786589301357836,0.14036990023599083,0.3509247505899771
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar1,ex_pandemic,m2_tech,m0_ar,93,3.7721963788556168,4.762092627919798,-0.07518855935174379,3.232820010967912,4.412414056609133,1.1668439214239503,1.0792488118350767,0.5376344086021505,-0.9238433978296613,0.3555678564456387,0.4118606462863052,0.34022078347055185,0.4252759793381898
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,6,expanding_ar1,full,m1_controls,m0_ar,127,4.831211220250969,6.550351880287001,0.8331987805017961,3.736762411083413,4.984068654854077,1.2928869135274348,1.3142579554772968,0.5275590551181102,-2.0325930191836363,0.0420936573669203,-1.179469999213266,0.8808944619752552,0.9152859951091179
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,6,expanding_ar1,full,m2_tech,m1_controls,127,5.409447087260174,7.0232887285434735,0.17512804970368598,4.831211220250969,6.550351880287001,1.1196875567322364,1.0722002202171392,0.5039370078740157,-1.304876507077869,0.19193490204290853,-0.5427509416948253,0.7063493525977109,0.9614205103886599
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,6,expanding_ar1,full,m2_tech,m0_ar,127,5.409447087260174,7.0232887285434735,0.17512804970368598,3.736762411083413,4.984068654854077,1.4476293893386158,1.4091476692848848,0.5039370078740157,-2.61399982340188,0.008948908278028089,-1.6737647303988967,0.9529115767528917,0.9559991189684779
