channel,outcome,impulse,horizon,n_baseline,response_pp_per_one_sd_baseline,response_pp_per_one_unit_baseline,standard_error_baseline,lower_90_baseline,upper_90_baseline,p_value_baseline,fdr_q_baseline,n_covid_dummy,response_pp_per_one_sd_covid_dummy,response_pp_per_one_unit_covid_dummy,standard_error_covid_dummy,lower_90_covid_dummy,upper_90_covid_dummy,p_value_covid_dummy,fdr_q_covid_dummy,delta_n,delta_response_pp_per_one_sd,delta_response_pp_per_one_unit,delta_standard_error,delta_lower_90,delta_upper_90,delta_p_value,delta_fdr_q
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,7,150,3.5371235329634585,3.5371235329634585,3.750529564077427,-2.6324975999439086,9.706744665870826,0.3456298783346798,0.5925083628594511,150,3.297954513749575,3.297954513749575,4.772915710859277,-4.553491830613935,11.149400858113086,0.48958268967136376,0.8158524459922368,0,-0.23916901921388334,-0.23916901921388334,1.0223861467818494,-1.9209942306700265,1.4426561922422607,0.14395281133668397,0.22334408313278575
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,8,149,2.463075278155965,2.463075278155965,4.056259591326391,-4.209471749575949,9.135622305887878,0.5436994689554808,0.7778780971662441,149,1.867219325099001,1.867219325099001,5.147596272692958,-6.600576543480916,10.335015193678917,0.7168019821616297,0.8678653248073573,0,-0.5958559530569638,-0.5958559530569638,1.0913366813665668,-2.391104793904967,1.1993928877910385,0.1731025132061489,0.08998722764111322
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,9,148,1.4026668129972868,1.4026668129972868,4.143474905304848,-5.413349406229189,8.218683032223762,0.7349681415813507,0.8631308892625793,148,0.8565713776295976,0.8565713776295976,5.087786492655438,-7.512837402788598,9.225980158047793,0.866301366267514,0.9450560359281971,0,-0.5460954353676892,-0.5460954353676892,0.9443115873505894,-2.099487996559409,1.0072971258240315,0.13133322468616326,0.08192514666561779
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,10,148,0.3003104365793557,0.3003104365793557,4.11298216833279,-6.465545230328084,7.066166103486795,0.9417939791944846,0.9417939791944846,148,-0.284310840462695,-0.284310840462695,4.948408329699638,-8.4244425428186,7.855820861893211,0.9541827452360848,0.9541827452360848,0,-0.5846212770420507,-0.5846212770420507,0.8354261613668479,-1.9588973124905156,0.7896547584064155,0.012388766041600219,0.012388766041600219
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,11,147,-1.044714531768732,-1.044714531768732,3.946066011107067,-7.5359931200398576,5.446564056502393,0.7912033151573643,0.8631308892625793,147,-1.657849644667966,-1.657849644667966,4.681112832743193,-9.35828025453052,6.042580965194587,0.7232211040061312,0.8678653248073573,0,-0.613135112899234,-0.613135112899234,0.7350468216361263,-1.8222871344906624,0.596016908692194,-0.06798221115123315,0.004734435544778037
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,12,146,-2.0477766651795393,-2.0477766651795393,3.734006790538962,-8.190217835616131,4.094664505257052,0.5834085728746831,0.7778780971662441,146,-2.6816747810170174,-2.6816747810170174,4.4184719175191045,-9.950061085335944,4.58671152330191,0.5439016306614912,0.8158524459922368,0,-0.6338981158374781,-0.6338981158374781,0.6844651269801427,-1.7598432497198129,0.4920470180448575,-0.03950694221319184,0.03797434882599271
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,1,156,1.9265228867986004,1.9265228867986004,0.8195080217686934,0.5784321909890997,3.274613582608101,0.0187316606372403,0.0187316606372403,156,1.6942897854352037,1.6942897854352037,0.8290774348574649,0.33045740509467403,3.0581221657757336,0.040994612970497904,0.040994612970497904,0,-0.2322331013633967,-0.2322331013633967,0.009569413088771461,-0.24797478589442568,-0.21649141683236728,0.022262952333257605,0.022262952333257605
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,2,155,3.590472548542229,3.590472548542229,1.3626136859592235,1.348973035139306,5.831972061945152,0.0084139923477739,0.009178900743026,155,3.327645238424222,3.327645238424222,1.373349787130647,1.0684848385943075,5.586805638254137,0.015392349602095996,0.016791654111377452,0,-0.262827310118007,-0.262827310118007,0.01073610117142354,-0.28048819654499857,-0.24516642369101493,0.006978357254322096,0.007612753368351452
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,3,154,5.812881177970159,5.812881177970159,2.046536451253069,2.4463287156588605,9.179433640281456,0.0045063966205682,0.0054076759446818,154,5.5113328641769534,5.5113328641769534,2.0248921160641458,2.180385333251434,8.842280395102474,0.006492921814439316,0.007791506177327179,0,-0.3015483137932051,-0.3015483137932051,-0.02164433518892306,-0.26594338240742665,-0.3371532451789818,0.0019865251938711156,0.0023838302326453795
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,4,153,7.9852964334510546,7.9852964334510546,2.668226758011417,3.5960634165222736,12.374529450379836,0.0027648943057391,0.0036865257409854,153,7.724941183540942,7.724941183540942,2.680953625381558,3.314772469788279,12.135109897293605,0.003958934407504861,0.005278579210006482,0,-0.2603552499101127,-0.2603552499101127,0.012726867370140837,-0.2812909467339946,-0.23941955308623086,0.0011940401017657611,0.001592053469021082
