target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c261_12m_pct,asia_to_import,3,expanding_ar2_min36,ex_pandemic,m2_asia_factor,m1_oecd_weighted,74,2.502836307519939,3.144572333828149,-0.13301621449361664,2.5407943513970035,3.119488251274271,0.9850605603494852,1.0080410889650349,0.9451800908817399,1.0667403721358548,12,2000,0.6081081081081081,-0.13495105296746882,0.892650574276884,0.6950914168997068,0.24349900667784682,0.24349900667784682
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m0_ridge_controls,m0_controls,109,3.0947220321664433,3.833776423465192,0.21676501154022676,3.066606098727481,3.7975639893729776,1.0091684202449833,1.0095357008317833,0.9745141438932483,1.0585302788896247,12,2000,0.6697247706422018,-0.377387873017688,0.7058853777239709,0.4859545848705452,0.3134996829794111,0.3134996829794111
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m4_asia_ols,m0_controls,109,3.053309893706857,3.709402491109987,0.05231987930731166,3.066606098727481,3.7975639893729776,0.9956641953375944,0.9767847234412114,0.8089696225460836,1.1791913153166917,12,2000,0.5963302752293578,0.23644610572276384,0.813086523034578,1.8171989473740557,0.034593328052751955,0.034593328052751955
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m1_oecd_weighted,m0_controls,109,3.120004958077111,3.8633831072700984,0.23195471714778643,3.066606098727481,3.7975639893729776,1.017413015441334,1.0173319312278364,0.8972271197223634,1.1715059663288492,12,2000,0.6146788990825688,-0.23382428644225883,0.8151213942970967,0.9657919170155905,0.16707415697499065,0.16707415697499065
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m2_asia_factor,m0_controls,109,3.2152360273761897,3.9146151295919864,0.23745936084892835,3.066606098727481,3.7975639893729776,1.0484672383291693,1.0308226906897586,0.8748674146308224,1.2152279607745242,12,2000,0.5871559633027523,-0.30911600671257417,0.7572332834763633,1.1662283365433561,0.12176106932371156,0.12176106932371156
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m3_asia_ridge,m0_controls,109,2.9650452434601258,3.668736968296914,0.21142968812621782,3.066606098727481,3.7975639893729776,0.9668816757034759,0.9660764054439714,0.7926933075397042,1.1667318949536463,12,2000,0.6055045871559633,0.35122487328439683,0.7254196511405546,1.5569906190950646,0.05973635633113376,0.05973635633113376
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m3_asia_ridge,m0_ridge_controls,109,2.9650452434601258,3.668736968296914,0.21142968812621782,3.0947220321664433,3.833776423465192,0.9580974357766349,0.9569512050420755,0.7967562053943922,1.139204560012438,12,2000,0.6055045871559633,0.46807264257797365,0.6397326423482155,1.6297506201165814,0.05157710702368031,0.05157710702368031
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,full,m2_asia_factor,m1_oecd_weighted,109,3.2152360273761897,3.9146151295919864,0.23745936084892835,3.120004958077111,3.8633831072700984,1.0305227301169966,1.013260922072543,0.9441732177880346,1.0881719335460722,12,2000,0.5871559633027523,-0.270516095315415,0.7867632360885146,0.852581838087274,0.1969456189081043,0.1969456189081043
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,pre_2020,m0_ridge_controls,m0_controls,36,3.6690258421079824,4.637306681855426,0.12730667941478785,3.811575691347864,4.715345222953868,0.9626008084888713,0.9834500895674494,0.9427879307884605,1.0154392763999698,12,2000,0.6111111111111112,0.4931565927545709,0.6219019459720916,1.2869924485895128,0.09904846009510342,0.09904846009510342
uk_ipi_c261_12m_pct,asia_to_import,4,expanding_ar2_min36,pre_2020,m4_asia_ols,m0_controls,36,3.3402635984023163,4.024340497097123,-0.06460184266390945,3.811575691347864,4.715345222953868,0.8763471773588523,0.8534561748537526,0.7147190067056689,1.1257252526742132,12,2000,0.5555555555555556,0.8021401055746245,0.4224719179344745,1.7852498725913168,0.037110397861051414,0.037110397861051414
