channel,outcome,impulse,horizon,n,impulse_standard_deviation,response_pp_per_one_sd,response_pp_per_one_unit,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,10,147,1.0,0.20643680657677926,0.20643680657677926,4.123904414632417,-6.577385955493546,6.990259568647105,0.9600757052486603,0.3234702131611753,0.9600757052486603
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,11,146,1.0,-1.094217974716956,-1.094217974716956,3.9667067227789983,-7.619450533688408,5.431014584254497,0.7826629057516636,0.2776233419147387,0.8538140790018149
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,12,145,1.0,-2.0957988438169375,-2.0957988438169375,3.747146699204425,-8.259855164008217,4.068257476374342,0.575953408894836,0.22498318175923293,0.767937878526448
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,1,155,1.0,1.96274076874613,1.96274076874613,0.8853400301050401,0.506356419223339,3.419125118268921,0.026627574597251562,0.8763648706505276,0.026627574597251562
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,2,154,1.0,3.4694058997812096,3.4694058997812096,1.4200068323008361,1.1334946606463343,5.8053171389160845,0.014556383034523024,0.8131847969382233,0.015879690583116026
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,3,153,1.0,5.805878202489216,5.805878202489216,2.1371677064259265,2.2902373254185675,9.321519079559865,0.006595175345035735,0.7311886933258271,0.007914210414042881
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,4,152,1.0,7.807137252468413,7.807137252468413,2.7667629523114017,3.2558121959161577,12.35846230902067,0.004776110830140798,0.6760829993419342,0.006368147773521064
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,5,151,1.0,9.833638472195332,9.833638472195332,3.1507637860635667,4.650632044120765,15.016644900269899,0.0018021769760827092,0.6227465712390474,0.002703265464124064
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,6,150,1.0,12.078599640124105,12.078599640124105,3.370106894256425,6.534773799072286,17.622425481175924,0.00033831957540085756,0.5909624724996836,0.0005799764149728987
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,7,149,1.0,13.33126545194171,13.33126545194171,3.467430549951805,7.627342197270991,19.03518870661243,0.00012069501096109714,0.5641971811602497,0.00024139002192219428
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,8,148,1.0,15.106619470262952,15.106619470262952,3.3002287239277797,9.677743219401755,20.53549572112415,4.706867620941934e-06,0.5364956230345646,1.1296482290260642e-05
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,9,148,1.0,15.357827220838313,15.357827220838313,3.2351697885517994,10.035972918670604,20.679681523006025,2.0630580576664836e-06,0.4959027295808681,6.189174172999451e-06
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,10,147,1.0,16.51421133146949,16.51421133146949,2.989927413963872,11.59578073549892,21.43264192744006,3.327256483962887e-08,0.4789997490369814,1.9963538903777323e-07
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,11,146,1.0,15.274388327015764,15.274388327015764,2.715189528195567,10.807901553134055,19.740875100897473,1.8493603213255208e-08,0.42555189023462425,1.9963538903777323e-07
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,12,145,1.0,14.29312333501811,14.29312333501811,2.9598476932747846,9.42417387958109,19.16207279045513,1.3721602647479608e-06,0.3434246001896266,5.488641058991843e-06
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,1,155,5.36947166913863,-0.23093610426692665,-0.043009092606679754,0.1771333575917902,-0.5223204775054215,0.060448268971568214,0.19232174431650195,0.8776964233638109,0.19232174431650195
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,2,154,5.36947166913863,-0.526665018127452,-0.09808507253227385,0.29226091860028186,-1.0074342292249157,-0.045895807029988356,0.071539568756391,0.8201586495841786,0.09830021314533545
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,3,153,5.36947166913863,-0.757851222098106,-0.1411407432231932,0.4370786313547781,-1.476845570676716,-0.03885687351949596,0.08293559109274408,0.745724024278781,0.0995227093112929
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,4,152,5.36947166913863,-0.8289325467916737,-0.15437879140996585,0.5371682976070098,-1.7125743963552047,0.05470930277185737,0.1227938037788877,0.6934789455947693,0.13395687684969568
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,5,151,5.36947166913863,-1.0762454072525645,-0.20043785935930186,0.6018208498600645,-2.0662407052723704,-0.08625010923275844,0.07372515985900159,0.6522295563997563,0.09830021314533545
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,6,150,5.36947166913863,-1.3127461970859606,-0.24448330822398237,0.5787695625651007,-2.2648221275055516,-0.3606702666663699,0.02331901158596714,0.6347927808614868,0.03997544843308652
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,7,149,5.36947166913863,-1.5658323344903766,-0.29161758008522415,0.6129464091198784,-2.5741291774925763,-0.5575354914881767,0.010631016789496872,0.6268385239037966,0.021262033578993745
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,8,148,5.36947166913863,-1.9672674651674145,-0.36638008101884695,0.5869827243594917,-2.9328540467387785,-1.0016808835960505,0.0008037757870704046,0.6357074926476518,0.0019290618889689708
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,9,148,5.36947166913863,-2.229145741554243,-0.41515178380889795,0.5273830740016715,-3.0966908982869925,-1.3616005848214932,2.3703225711886837e-05,0.6231526745100132,7.110967713566052e-05
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,10,147,5.36947166913863,-2.620177901142454,-0.48797685556329284,0.41564696262522205,-3.3039171546609443,-1.9364386476239637,2.9033340034026025e-10,0.6546139705502372,1.161333601361041e-09
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,11,146,5.36947166913863,-2.791097589677173,-0.5198086071892657,0.38464036191946266,-3.423830985034689,-2.158364194319657,3.975797946207374e-13,0.6245173688042347,2.3854787677244244e-12
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,12,145,5.36947166913863,-3.0257452753725262,-0.563508937529773,0.4014563383532569,-3.6861409519636337,-2.365349598781419,4.811924150608822e-14,0.5772901682355042,5.774308980730587e-13
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,1,155,4.736937487066577,0.3674045875542583,0.07756162891264572,0.21294167306700418,0.017115535359036427,0.7176936397494802,0.08445961903639862,0.8775176026292424,0.571424720079938
