date,historical_targeted_hardware_index,historical_targeted_hardware_1m_pct,historical_targeted_hardware_3m_annualised_pct,historical_targeted_hardware_12m_pct,historical_ex_games_index,historical_ex_games_1m_pct,historical_ex_games_3m_annualised_pct,historical_ex_games_12m_pct
2010-10-01,172.44982323645047,-1.1929694793067935,-13.122582949920748,-9.077350303234432,147.9281389255837,-0.6318079515688191,-10.532786989599064,-7.154694638139314
2010-11-01,169.2606683821472,-1.8493233535708198,-15.21719233323906,-10.085453543069534,146.86651992104717,-0.717658595752757,-11.731618686392299,-7.841962465697494
2010-12-01,168.97474348953853,-0.1689257730940419,-12.140736337933088,-9.40835806253466,150.1828640436966,2.2580667972743163,3.578092231882346,-6.242827661486561
2011-01-01,166.122445202811,-1.6880027321385493,-13.888283603223329,-10.413737915586484,144.4946891118369,-3.7874993049837657,-8.96584487869736,-8.233387599513243
2011-02-01,163.61900406978245,-1.5069854828901774,-12.680593874659785,-11.75860192216376,142.95762041409853,-1.0637544585107128,-10.228594324782868,-9.110624141926172
2011-03-01,160.94147927796215,-1.636438754191627,-17.702854512180522,-12.206582947074496,140.35077799163915,-1.8235071449204776,-23.72578116357753,-10.740083990143079
2011-04-01,161.1653166097536,0.13907995179096577,-11.412370050195674,-11.138513072850342,142.72036293203362,1.688330463359189,-4.82207640825062,-7.911312417894822
2011-05-01,160.70996803342123,-0.2825350924820613,-6.92430677790793,-11.275405010214756,139.9897956645335,-1.9132289264150004,-8.049038204962777,-9.346636309603273
2011-06-01,155.19452628850462,-3.43192261961599,-13.536334401607586,-13.730677387439737,135.72805769322306,-3.0443204457009876,-12.53803313768993,-12.154403883302633
2011-07-01,153.75462319322384,-0.9278053354820126,-17.162613151869298,-13.922002549844247,135.76310431857812,0.025821208931064987,-18.118974399609478,-10.742042700460729
2011-08-01,151.91480512434353,-1.1965936572640112,-20.158415973920405,-13.876633448569631,133.97697295696582,-1.3156235418873452,-16.105183898101384,-11.578343312908812
2011-09-01,147.38398298299967,-2.982475695924003,-18.661612713938812,-15.554719444997922,131.89541130188132,-1.5536712086733795,-10.825597308702307,-11.401517954975871
2011-10-01,145.86349038654907,-1.0316538918791363,-19.00211601046542,-15.416851319962321,132.93140222651894,0.785463963008115,-8.0856534004495,-10.137852614105414
2011-11-01,142.23472555769473,-2.4877814312806112,-23.15384311612968,-15.967054297242179,131.57875865525511,-1.0175500661302572,-6.97011277413756,-10.409289519497356
2011-12-01,141.41912022980222,-0.5734220843008453,-15.23211081813053,-16.30753963028937,132.5223255136078,0.7171118408442201,1.9148447387308254,-11.759356596735548
2012-01-01,142.11118784378195,0.48937344034889474,-9.899609844134382,-14.453951318688363,131.127744929914,-1.0523363352468396,-5.31786850606597,-9.250820403217075
2012-02-01,138.76264411789703,-2.356284383159102,-9.412617636992538,-15.19160936909526,128.92172053368063,-1.6823475439255553,-7.8360177185651025,-9.818224337926706
2012-03-01,136.49137097264725,-1.6368044582085295,-13.226271353120811,-15.191924676600676,127.6226809341067,-1.0076188823702203,-13.988749727724748,-9.068775563389242
2012-04-01,134.5186994189326,-1.4452719902051214,-19.71811505505331,-16.53371690097766,128.09966360560557,0.3737444379068755,-8.9219786434787,-10.24429802871979
2012-05-01,132.37083030385236,-1.5967067213392583,-17.190739725892477,-17.63371499375538,126.15040053966324,-1.5216769592336643,-8.325159297634134,-9.886002804114725
2012-06-01,132.44563196073588,0.05650916951402962,-11.339581788376652,-14.65830971736647,126.48089839728493,0.2619871646921901,-3.5308808546892334,-6.813004954980539
2012-07-01,130.97946698628573,-1.106993830407943,-10.116032067844817,-14.812664317948022,124.96001899281102,-1.2024577811716175,-9.449183008020402,-7.957305764323763
2012-08-01,129.12329483236863,-1.4171474328197209,-9.458178865337663,-15.002823637445905,122.09038991133521,-2.296437776342608,-12.265301550942176,-8.872108977599202
2012-09-01,130.61515058894028,1.1553730552712693,-5.414696378447925,-11.377649086871012,124.08317290089386,1.6322193671474583,-7.369972329265795,-5.923055490616624
2012-10-01,129.35484379974784,-0.964900919617484,-4.869909815115491,-11.317874365306968,123.99562325970618,-0.07055722314387447,-3.051500122198203,-6.722097876907929
2012-11-01,126.69605827393748,-2.055420151043108,-7.309757941479322,-10.92466500204572,121.03491590649944,-2.3877514991038074,-3.4134245119830986,-8.013331981935801
2012-12-01,126.5034138370471,-0.15205243123969092,-12.009707677741755,-10.547163897298685,121.84782054030057,0.6716282055577283,-7.013585656363808,-8.054872967205162
2013-01-01,123.10357683318104,-2.687545656471768,-17.973930154102014,-13.37516862605873,119.72728267858476,-1.7403166115839253,-13.07452351216687,-8.694164806557636
2013-02-01,122.67395782634733,-0.3489898651896084,-12.106432033441262,-11.59439299663405,120.3118859853889,0.48827910708835187,-2.3681659145978196,-6.678342883302135
2013-03-01,122.86212003505356,0.15338398796309605,-11.026015990728343,-9.985430463823953,121.73726937250554,1.1847402901569826,-0.3624219309836141,-4.6115717978373105
