target,candidate,horizon,window,model,origin,target_date,prediction,train_n
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.3919006807682024,125
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.3382210810046034,125
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-0.28759214735394967,124
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-0.276509950408768,124
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-0.7003425390359028,123
headline_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-0.6678060592483067,123
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.3919006807682024,125
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.5766031685673673,125
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-0.28759214735394967,124
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.05732055015997756,124
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-0.7003425390359028,123
headline_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-0.23069396705620293,123
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.3919006807682024,125
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.3532829154857099,125
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-0.28759214735394967,124
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-0.3076146165782046,124
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-0.7003425390359028,123
headline_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-0.7093892811570863,123
headline_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,1.3586988801823099,125
headline_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.4884386619691605,125
headline_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.8923807207546852,124
headline_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-2.2126149895453455,124
headline_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,1.0029864430281616,123
headline_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-2.722346023240348,123
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,1.3586988801823099,125
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,1.2081797101229155,125
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.8923807207546852,124
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.21731495561738423,124
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,1.0029864430281616,123
headline_12m_pct,hk_ppi_tech_gbp_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-0.10519063954065977,123
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.13585118758369785,125
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.3301195150949696,125
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.33178059353873635,124
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.4400601142861855,124
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2840983988593422,123
ex_games_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,2.0273460757011827,123
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.13585118758369785,125
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.46737983407381634,125
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.33178059353873635,124
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.3919954191730108,124
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2840983988593422,123
ex_games_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,2.1787657753924217,123
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.13585118758369785,125
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.2814779280973385,125
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.33178059353873635,124
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.3584734808423164,124
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2840983988593422,123
ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,2.1330024427886527,123
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.13585118758369785,125
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.12843606204954705,125
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.33178059353873635,124
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.32619819250208226,124
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2840983988593422,123
ex_games_12m_pct,jp_ppi_electronic_components_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,0.281771925292543,123
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.13585118758369785,125
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.5019101127414455,125
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.33178059353873635,124
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.3546837995975343,124
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2840983988593422,123
ex_games_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,2.832311730753799,123
ex_games_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.5468561409277339,84
ex_games_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.8042806636096416,84
ex_games_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.03518366830296049,84
ex_games_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.6066239616175912,83
ex_games_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.658884674313902,83
ex_games_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.9188960555550669,83
ex_games_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.8934018868951609,82
ex_games_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-3.0766206946219072,82
ex_games_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,1.2899950594442875,82
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.5468561409277339,84
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.8042806636096416,84
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.10197503075369174,84
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.6066239616175912,83
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.658884674313902,83
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.70628646039542,83
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.8934018868951609,82
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-3.0766206946219072,82
ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,0.9735483395175253,82
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.51178136878662,125
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.5485907320157349,125
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.2477065962370788,124
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-1.246941934521125,124
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-1.963518328935977,123
ex_games_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-1.9166165264362833,123
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.51178136878662,125
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.5240172599910397,125
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.2477065962370788,124
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-1.2949687499303857,124
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.6914459508277795,123
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-1.963518328935977,123
ex_games_12m_pct,tw_epi_integrated_circuits_usd_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-1.9890331656757634,123
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,-0.4116733246736154,125
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.51178136878662,125
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.5362278243169984,125
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,-0.5012099701370947,124
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.2477065962370788,124
ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-1.2432887645731545,124
