target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts_baseline,rmse_baseline,benchmark_rmse_baseline,rmse_ratio_baseline,clark_west_one_sided_p_baseline,clark_west_fdr_q_baseline,n_forecasts_covid_dummy,rmse_covid_dummy,benchmark_rmse_covid_dummy,rmse_ratio_covid_dummy,clark_west_one_sided_p_covid_dummy,clark_west_fdr_q_covid_dummy,delta_n_forecasts,delta_rmse,delta_benchmark_rmse,delta_rmse_ratio,delta_clark_west_one_sided_p,delta_clark_west_fdr_q
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ols,40,4.288290925408674,3.746636891216932,1.14457073100986,0.0387087427925037,0.0387087427925037,40,4.288290925408674,3.7466368912169323,1.14457073100986,0.038708742792503296,0.038708742792503296,0,0.0,4.440892098500626e-16,0.0,-4.0245584642661925e-16,-4.0245584642661925e-16
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ols,a0_controls_ols,36,4.1420596831288465,3.7787704774012982,1.0961395268382077,0.1636132609462919,0.1636132609462919,36,4.383067100099615,4.058929898220423,1.079857797500101,0.13713312043504733,0.13713312043504733,0,0.24100741697076877,0.28015942081912515,-0.016281729338106787,-0.02648014051124456,-0.02648014051124456
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ridge,36,4.181106372832376,3.7097272135047272,1.1270657199838472,0.972051587372032,0.972051587372032,36,4.214935322452079,4.00788114646987,1.0516617555299965,0.4269885861762499,0.4269885861762499,0,0.03382894961970262,0.29815393296514303,-0.07540396445385067,-0.5450630011957821,-0.5450630011957821
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ols,36,4.181106372832376,3.7787704774012982,1.1064727000057883,0.5440901010923589,0.5440901010923589,36,4.214935322452079,4.058929898220423,1.0384351117520048,0.05173750489436445,0.05173750489436445,0,0.03382894961970262,0.28015942081912515,-0.06803758825378359,-0.49235259619799443,-0.49235259619799443
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ols,a0_controls_ols,35,2.9937691422793913,2.365985327310427,1.2653371547669772,0.5302262073630561,0.5302262073630561,35,3.1303302496081065,2.3722954342608347,1.3195364305809838,0.613087899487961,0.613087899487961,0,0.13656110732871518,0.006310106950407679,0.05419927581400663,0.0828616921249049,0.0828616921249049
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ridge,a0_controls_ridge,35,2.2644972819750575,2.314510952697081,0.9783912577023052,0.1402010650410432,0.1402010650410432,35,2.474458257157186,2.3049413419499567,1.0735450018280377,0.3308560936963514,0.3308560936963514,0,0.20996097518212853,-0.009569610747124369,0.09515374412573252,0.19065502865530817,0.19065502865530817
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ridge,a0_controls_ols,35,2.2644972819750575,2.365985327310427,0.957105378396096,0.0930115501890983,0.0930115501890983,35,2.474458257157186,2.3722954342608347,1.0430649662857794,0.19416789981865343,0.19416789981865343,0,0.20996097518212853,0.006310106950407679,0.08595958788968339,0.10115634962955512,0.10115634962955512
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ols,a0_controls_ols,75,3.679325088772179,3.177876753854781,1.157793512385003,0.0077450109278382,0.0077450109278382,75,3.7319851124520564,3.1800713131304152,1.1735539064934821,0.008466030101524184,0.008466030101524184,0,0.05266002367987754,0.002194559275634056,0.01576039410847918,0.0007210191736859847,0.0007210191736859847
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ridge,a0_controls_ridge,75,3.4929562271142767,2.928309375433414,1.19282349618448,0.177592388026883,0.177592388026883,75,3.55880240298552,2.9247848063461097,1.2167741008718789,0.22245929274539356,0.22245929274539356,0,0.06584617587124342,-0.0035245690873044744,0.023950604687398958,0.04486690471851054,0.04486690471851054
uk_ipi_c26_12m_pct,ardl_asia_to_import,2,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ridge,a0_controls_ols,75,3.4929562271142767,3.177876753854781,1.0991477951047983,0.0276593557413916,0.0276593557413916,75,3.55880240298552,3.1800713131304152,1.119095156228521,0.02987497855836358,0.02987497855836358,0,0.06584617587124342,0.002194559275634056,0.01994736112372264,0.00221562281697198,0.00221562281697198
uk_ipi_c26_12m_pct,ardl_asia_to_import,3,expanding_ardl6_ar2_min30,full,a1_ardl_ols,a0_controls_ols,110,4.943155797210771,4.468906344446658,1.106122038863814,0.0049857260586624,0.0049857260586624,110,5.118616536729794,4.648442879029868,1.1011464849489667,0.004855389452761345,0.004855389452761345,0,0.17546073951902308,0.1795365345832094,-0.004975553914847275,-0.00013033660590105502,-0.00013033660590105502
uk_ipi_c26_12m_pct,ardl_asia_to_import,3,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ridge,110,4.649751731174328,4.340444255099811,1.0712617091467298,0.0656662661069518,0.0656662661069518,110,4.686006000096772,4.459023246736793,1.0509041421854193,0.04820105648505958,0.04820105648505958,0,0.03625426892244388,0.11857899163698171,-0.020357566961310525,-0.017465209621892214,-0.017465209621892214
uk_ipi_c26_12m_pct,ardl_asia_to_import,3,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ols,110,4.649751731174328,4.468906344446658,1.0404674819270714,0.0009069238519955,0.0009069238519955,110,4.686006000096772,4.648442879029868,1.0080807965257268,0.00020942387441177558,0.00020942387441177558,0,0.03625426892244388,0.1795365345832094,-0.032386685401344595,-0.0006974999775837244,-0.0006974999775837244
uk_ipi_c26_12m_pct,ardl_asia_to_import,3,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ols,a0_controls_ols,38,5.422315340327663,5.074655387303651,1.068509076280101,0.0041688491768798,0.0041688491768798,38,5.422315340327662,5.074655387303651,1.0685090762801008,0.004168849176879801,0.004168849176879801,0,-8.881784197001252e-16,0.0,-2.220446049250313e-16,8.673617379884035e-19,8.673617379884035e-19
