target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts_baseline,rmse_baseline,benchmark_rmse_baseline,rmse_ratio_baseline,clark_west_one_sided_p_baseline,clark_west_fdr_q_baseline,n_forecasts_covid_dummy,rmse_covid_dummy,benchmark_rmse_covid_dummy,rmse_ratio_covid_dummy,clark_west_one_sided_p_covid_dummy,clark_west_fdr_q_covid_dummy,delta_n_forecasts,delta_rmse,delta_benchmark_rmse,delta_rmse_ratio,delta_clark_west_one_sided_p,delta_clark_west_fdr_q
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m2_asia_factor,m0_controls,42,2.246940940989621,2.2614141079369565,0.99359994841434,0.0259031367243104,0.0259031367243104,42,2.246940940989618,2.2614141079369565,0.9935999484143389,0.025903136724310095,0.025903136724310095,0,-2.6645352591003757e-15,0.0,-1.1102230246251565e-15,-3.0531133177191805e-16,-3.0531133177191805e-16
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m3_asia_ridge,m0_controls,42,2.2234576376404,2.2614141079369565,0.9832156038280032,0.0136026810102484,0.0136026810102484,42,2.2234576376403936,2.2614141079369565,0.9832156038280004,0.013602681010248226,0.013602681010248226,0,-6.217248937900877e-15,0.0,-2.7755575615628914e-15,-1.734723475976807e-16,-1.734723475976807e-16
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m3_asia_ridge,m0_ridge_controls,42,2.2234576376404,2.3275942026625325,0.9552599998302922,0.0109908817206041,0.0109908817206041,42,2.2234576376403936,2.3275942026625325,0.9552599998302895,0.010990881720603887,0.010990881720603887,0,-6.217248937900877e-15,0.0,-2.6645352591003757e-15,-2.1337098754514727e-16,-2.1337098754514727e-16
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m2_asia_factor,m1_oecd_weighted,42,2.246940940989621,2.271103417017078,0.9893609089544708,0.1997632244893953,0.1997632244893953,42,2.246940940989618,2.2711034170170765,0.9893609089544703,0.19976322448939263,0.19976322448939263,0,-2.6645352591003757e-15,-1.3322676295501878e-15,-5.551115123125783e-16,-2.6645352591003757e-15,-2.6645352591003757e-15
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m0_ridge_controls,m0_controls,36,2.382105591098078,2.3436837606184735,1.0163937776611407,0.3829182269913211,0.3829182269913211,36,2.4789674543884734,2.431751500435211,1.0194164387047,0.5192015833783707,0.5192015833783707,0,0.09686186329039526,0.08806773981673732,0.003022661043559305,0.13628335638704964,0.13628335638704964
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m4_asia_ols,m0_controls,36,2.559782680333881,2.3436837606184735,1.092204811650178,0.3783757242532898,0.3783757242532898,36,2.6204465825785066,2.431751500435211,1.0775963671080393,0.24670050638752666,0.24670050638752666,0,0.06066390224462559,0.08806773981673732,-0.01460844454213861,-0.13167521786576314,-0.13167521786576314
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m1_oecd_weighted,m0_controls,36,2.4953466469511167,2.3436837606184735,1.064711327048928,0.9364852166557052,0.9364852166557052,36,2.53259800165885,2.431751500435211,1.041470726431377,0.8707188836013934,0.8707188836013934,0,0.03725135470773333,0.08806773981673732,-0.023240600617550955,-0.06576633305431179,-0.06576633305431179
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m2_asia_factor,m0_controls,36,2.4796034356942256,2.3436837606184735,1.057994033734263,0.8874477985654458,0.8874477985654458,36,2.520075090304506,2.431751500435211,1.0363209768158825,0.8967225424465329,0.8967225424465329,0,0.04047165461028035,0.08806773981673732,-0.021673056918380507,0.009274743881087177,0.009274743881087177
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m3_asia_ridge,m0_controls,36,2.401835854611821,2.3436837606184735,1.024812261351336,0.2699670257909714,0.2699670257909714,36,2.458992048868374,2.431751500435211,1.0112020280149052,0.19724523944004646,0.19724523944004646,0,0.05715619425655305,0.08806773981673732,-0.013610233336430744,-0.07272178635092497,-0.07272178635092497
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m3_asia_ridge,m0_ridge_controls,36,2.401835854611821,2.382105591098078,1.00828269896493,0.1836523434064564,0.1836523434064564,36,2.458992048868374,2.4789674543884734,0.9919420460786054,0.10606188494749873,0.10606188494749873,0,0.05715619425655305,0.09686186329039526,-0.01634065288632469,-0.07759045845895766,-0.07759045845895766
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pandemic_2020_2022,m2_asia_factor,m1_oecd_weighted,36,2.4796034356942256,2.4953466469511167,0.9936909722438256,0.2268050622657721,0.2268050622657721,36,2.520075090304506,2.53259800165885,0.9950553102600012,0.1636229579520692,0.1636229579520692,0,0.04047165461028035,0.03725135470773333,0.0013643380161755259,-0.06318210431370291,-0.06318210431370291
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m0_ridge_controls,m0_controls,34,1.7237380073076485,1.734945021241732,0.99354042128317,0.1658104288088044,0.1658104288088044,34,1.7043906173635974,1.7359347813131927,0.9818287159810619,0.14207578986790553,0.14207578986790553,0,-0.019347389944051052,0.0009897600714605659,-0.011711705302108077,-0.02373463894089886,-0.02373463894089886
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m4_asia_ols,m0_controls,34,1.7959558717219626,1.734945021241732,1.0351658696576818,0.1582634749616578,0.1582634749616578,34,1.7930141449347552,1.7359347813131927,1.0328810530418564,0.1255192651579979,0.1255192651579979,0,-0.0029417267872073882,0.0009897600714605659,-0.002284816615825358,-0.032744209803659885,-0.032744209803659885
