origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,7,2.1655747085072092,3.309234944819641,1.143660236312432,2.0276727426599237,-1.6263781657483338,4.874087880408213,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,8,2.320849298015987,3.0448534441022224,0.7240041460862354,2.3776957514828614,-2.474407322621184,5.0751807684305765,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,9,2.4978526587142658,2.811187623693039,0.3133349649787731,2.7043834871309858,-3.2211741229077826,5.3231623053127395,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,10,2.6889678554122125,2.606370418313648,-0.08259743709856471,3.0065779607039773,-3.927037547756892,5.592767247392727,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,11,2.8879553221413112,2.426791861990689,-0.46116346015062204,3.285793453011315,-4.58518216664741,5.853617789675774,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,3.0898436565098075,2.269343297931676,-0.8205003585781316,3.543473583896131,-5.17819930436018,6.0907307639197255,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,0,1.6260162601626105,1.6260162601626105,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,1,1.9458066458473393,1.7091843121390138,-0.23662233370832553,0.055170879116047844,-0.32826228500500143,-0.14766395151003145,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,2,1.9677764526253303,1.9501936968492797,-0.017582755776050618,0.06067988261424733,-0.1269661991568506,0.06661658173856876,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,3,1.9310955291408245,2.156694098128093,0.2255985689872686,0.02589749259015967,0.17991014809875808,0.2580636593413515,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,4,1.919679979336526,2.337884468666732,0.41820448933020593,0.0871386303676312,0.2753411219576603,0.5640271365752209,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,5,1.9563452857904586,2.4967423268032483,0.5403970410127896,0.2006846579870785,0.22363975601122127,0.893266780063781,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,6,2.040918251713931,2.6360238163075693,0.5951055645936383,0.3346674608469145,0.10162693271504493,1.2012302184567254,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,7,2.1655747085072092,2.7581412699401513,0.5925665614329421,0.48087350878185897,-0.10506289530804694,1.4829981003405732,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,8,2.320849298015987,2.865209861329794,0.5443605633138069,0.6335141495402358,-0.3269880893300125,1.6954244771231837,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,9,2.4978526587142658,2.9590841021608005,0.4612314434465348,0.7882454460403778,-0.6203717949523886,1.9084650510874968,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,10,2.6889678554122125,3.0413899677510514,0.3524221123388389,0.941841833692612,-0.9171884537190773,2.0778189061158256,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,11,2.8879553221413112,3.113553060102968,0.22559773796165672,1.0919651498678133,-1.2240059919677684,2.236932277731277,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,3.0898436565098075,3.1768233004490973,0.08697964393928981,1.2369759768317246,-1.50665243801459,2.3996761325961695,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,0,1.6260162601626105,1.6260162601626105,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
