date,oecd_chn_targeted_contribution_pct,oecd_hkg_targeted_contribution_pct,oecd_jpn_targeted_contribution_pct,oecd_kor_targeted_contribution_pct,oecd_twn_targeted_contribution_pct,oecd_asia_c26_targeted_gbp_contribution_pct,oecd_asia_c26_targeted_gbp_12m_pct,oecd_chn_bls_contribution_pct,oecd_jpn_bls_contribution_pct,oecd_nie_bls_contribution_pct,oecd_asia_c26_bls_gbp_contribution_pct,oecd_asia_c26_bls_gbp_12m_pct,ex_games_cpi_weight_per_1000,oecd_asia_ex_games_targeted_mechanical_pp,oecd_asia_ex_games_bls_mechanical_pp
2016-12-01,,0.02757630330367842,0.6343663079537768,,1.1005873280084217,,,6.579573559296997,0.6477894762729824,1.6283081908545167,8.855671226424496,16.93802607960557,13.39,,0.11857743772182401
2017-01-01,,0.02757630330367842,0.5124309855513374,,0.993273621293558,,,4.863295068068436,0.45955927736499175,1.2962299493926246,6.619084294826052,12.660160877961792,13.120000000000001,,0.08684238594811781
2017-02-01,,0.02757630330367842,0.4441876115540269,,0.9160047718500024,,,4.211738957757786,0.39879430546268396,1.1256500260657853,5.736183289286256,10.971457687070972,13.120000000000001,,0.07525872475543569
2017-03-01,,0.03006434990568882,0.48968004020773953,,0.9131271454305291,,,4.714481196053432,0.4242541266548464,1.2377091144204755,6.376444437128754,12.196069547948856,13.120000000000001,,0.08365895101512927
2017-04-01,,0.03006434990568882,0.4499657031590522,,0.8337005735897128,,,3.931702978729913,0.3533017444950042,1.1445007433522296,5.4295054665771465,10.384882505329402,13.120000000000001,,0.07123511172149218
2017-05-01,,0.03006434990568882,0.4086929859518433,,0.7370984484364671,,,3.5991246660913783,0.31879739898706844,1.0987439622712472,5.016666027349694,9.595254592375857,13.120000000000001,,0.06581865827882798
2017-06-01,,0.027628973226023517,0.3620937121861526,,0.5869726342585042,,,3.210700157534154,0.2911713960583589,1.076540325374812,4.578411878967325,8.757016585905395,13.120000000000001,,0.0600687638520513
2017-07-01,,0.027628973226023517,0.03358995648762792,,0.0809811570507712,,,-0.5979849403949125,-0.03326932731750023,0.21742019562573567,-0.413834072086677,-0.7915303229322377,13.120000000000001,,-0.005429503025777203
2017-08-01,,0.027628973226023517,-0.00749850479808439,,0.05140021707828736,,,-0.4315622015548806,-0.04022361376864524,0.23921332738642676,-0.23257248793709911,-0.4448357177401502,13.120000000000001,,-0.0030513510417347406
2017-09-01,,0.018242473427193987,-0.09800164211592549,,-0.10909777526900585,,,-1.9061274893632314,-0.12342202254399096,0.009010179790031922,-2.0205393321171905,-3.864636234478616,13.120000000000001,,-0.026509476037377543
2017-10-01,,0.018242473427193987,-0.22882972891351583,,-0.3382110557573858,,,-3.975516633380862,-0.2870369202406909,-0.47513105152662677,-4.737684605148179,-9.061653639477496,13.120000000000001,,-0.06215842201954412
2017-11-01,,0.018242473427193987,-0.17640595773082696,,-0.26836466628460703,,,-3.386696599204804,-0.28694374947061063,-0.5081945352473174,-4.181834883922732,-7.99849345277537,13.120000000000001,,-0.05486567367706625
2017-12-01,,0.003645806782847657,-0.1300965338457417,,-0.33021973824695783,,,-3.7573164407077324,-0.3007413434747237,-0.6209243030131434,-4.678982087195599,-8.949374767035573,13.120000000000001,,-0.06138824498400625
2018-01-01,,0.003645806782847657,-0.22780868259497317,,-0.5693456724590886,,,-5.103536868918351,-0.32916329992390875,-0.9546984866331077,-6.3873986554753674,-12.217021413854061,12.87,,-0.08220582069596798
2018-02-01,,0.003645806782847657,-0.22428576464349304,,-0.5692835314177332,,,-5.0761360074449415,-0.32995398648723645,-0.9285145276356022,-6.33460452156778,-12.116043363279124,12.87,,-0.08152636019257732
2018-03-01,,-0.0008958313381700412,-0.24723846468118765,,-0.5996875511424223,,,-5.488642036470821,-0.3607601741915161,-1.0221097050251615,-6.871511915687498,-13.142973023539858,12.87,,-0.08843635835489809
2018-04-01,,-0.0008958313381700412,-0.2818330608763751,,-0.5596758296981976,,,-5.01479927820745,-0.31512525660033514,-0.9321955564577238,-6.262120091265508,-11.977404163670883,12.87,,-0.08059348557458709
2018-05-01,,-0.0008958313381700412,-0.10593478193608437,,-0.20937289615302349,,,-2.862521977557283,-0.12023717299433713,-0.3526309440739486,-3.335390094625569,-6.379519176349998,12.87,,-0.04292647051783107
2018-06-01,,-0.007460358168431353,-0.14397823979557772,,-0.17924333574908927,,,-2.735128077249095,-0.11290841899531788,-0.42450974414329506,-3.272546240387708,-6.259319271135857,12.87,,-0.0421176701137898
2018-07-01,,-0.007460358168431353,-0.11507068929058266,,-0.11072911561303174,,,-2.049104379748404,-0.028107062873701336,-0.30652222851054345,-2.383733671132649,-4.559309176700382,12.87,,-0.03067865234747719
2018-08-01,,-0.007460358168431353,-0.08017616103022152,,-0.031178678084738523,,,-1.374419525980879,0.04275981168188907,-0.16081937666357593,-1.4924790909625658,-2.854628307627076,12.87,,-0.01920820590068822
2018-09-01,,0.0006963997090461713,-0.04688296034244111,,0.02091211671390167,,,-0.34765176548585136,0.07415739694268066,-0.11460454283212353,-0.38809891137529423,-0.7423073095494069,12.87,,-0.004994832989400036
2018-10-01,,0.0006963997090461713,-0.05343844247008538,,-0.048673150304365885,,,-0.6207443990819502,0.05916144468015701,-0.20139506586227313,-0.7629780202640664,-1.459329425739806,12.87,,-0.009819527120798532
