origin,scenario,scenario_label,target,target_label,target_group,horizon,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,21.91169624359053,2.267343697570275,18.181915861087425,25.641476626093635
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,24.93665116016392,2.329091227489726,21.10529609094332,28.76800622938452
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,27.341743553699548,2.3390612717693657,23.49398776163894,31.189499345760154
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,0,0.7924792633883246,0.26565447169177026,0.3554776574553626,1.2294808693212866
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,1,1.3981354400256143,0.440717988476877,0.6731543489811517,2.123116531070077
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,2,2.645765232469314,0.7210837458529382,1.4595824705412306,3.8319479943973973
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,3,4.086861704903616,1.0026375802852014,2.43752288533446,5.736200524472773
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,4,5.906844076598454,1.2575928883209868,3.838103775310431,7.975584377886477
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,5,8.20822171143562,1.5487466115131687,5.660533535496457,10.755909887374782
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,6,10.633198611328107,1.738502060693463,7.77336272148736,13.493034501168854
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,7,13.536043708952194,1.935864814636226,10.351546088875603,16.720541329028787
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,8,16.217753289186188,2.088526141300372,12.782127786747076,19.6533787916253
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,9,18.944392681940272,2.206642771857486,15.314465322234707,22.574320041645837
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,10,21.807550703416915,2.2587202332728773,18.09195591968303,25.5231454871508
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,11,24.516736563664185,2.3123719993554444,20.71288462472448,28.32058850260389
2026-06-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,12,26.489837730862522,2.3392736698387515,22.641732543977774,30.33794291774727
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,0,0.5128866449726714,0.14951576954586548,0.26693320406972276,0.7588400858756201
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,1,0.8127603713432715,0.295768075726312,0.3262218867734883,1.2992988559130547
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,2,1.6696723719844808,0.4294216382495318,0.9632737770640011,2.3760709669049604
