method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_12,n,ar_lags
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,4,0.29997443862187306,0.27158882080747626,0.5,1.0,29,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,5,-0.008736375495206518,-0.039112470505449984,0.5,1.0,28,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,6,-0.3136788441227065,-0.403152597065269,0.5,1.0,27,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,7,-0.2606888702321629,-0.43441224032402836,0.5,0.5,26,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,8,0.1411262651068604,0.15931003849072287,1.0,1.0,25,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,9,-0.11662180179136146,-0.09104447011724004,1.0,1.0,24,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,10,0.32171187384512023,0.26036747718023384,0.5,1.0,23,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,11,0.15126010363075804,0.08193034254976445,1.0,1.0,22,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,12,0.16407731482333554,0.16407731482333554,1.0,1.0,21,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,0,0.0403424525732301,-0.027420977780054326,1.0,1.0,25,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,1,-0.04277358334305922,-0.47323362916561745,0.5,1.0,24,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,2,-0.22575415011166522,-0.5167897471703938,1.0,1.0,23,12
