target,impulse,period,n,cumulative_effect,standard_error,z,p_value,r_squared
uk_ipi_c26_noneu_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,from_2023,42,0.5793641669616892,0.30816081915716537,1.8800708297254598,0.060098425384929724,0.9417675721673092
uk_ipi_c26_noneu_12m_pct,hk_ppi_tech_12m_pct,full,235,-0.039360546200421676,0.10364033727998473,-0.37978018244082923,0.7041085942451704,0.8997853962989534
uk_ipi_c26_noneu_12m_pct,hk_ppi_tech_12m_pct,from_2023,42,0.09026603618052145,0.43460815832690863,0.20769521798213483,0.83546695176055,0.9456701153378803
uk_ipi_c261_12m_pct,jp_epi_electronics_yen_12m_pct,full,197,-0.010488682062115132,0.031327115186039624,-0.33481161606572785,0.7377671974076407,0.9084484111747793
uk_ipi_c261_12m_pct,jp_epi_electronics_yen_12m_pct,from_2023,42,-0.15958885983194188,0.052391893876987394,-3.046060144469022,0.0023186145003706404,0.9630104578405788
uk_ipi_c261_12m_pct,kr_epi_tech_12m_pct,full,70,-0.00923697734082786,0.014718991595450093,-0.6275550387353422,0.5302954701776705,0.9483809663970151
uk_ipi_c261_12m_pct,kr_epi_tech_12m_pct,from_2023,31,,,,,
uk_ipi_c261_12m_pct,cn_ppi_tech_12m_pct,full,52,0.6860880508272388,0.18644794611265145,3.679783366520465,0.00023343217202847772,0.9693621291760957
uk_ipi_c261_12m_pct,cn_ppi_tech_12m_pct,from_2023,36,2.153418375603819,0.7478947322279661,2.8793067831736443,0.0039855043010136515,0.9517570007257962
uk_ipi_c261_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,full,197,0.11852954009972484,0.03918920233366182,3.0245458708383337,0.0024900670834885437,0.9154859422013042
uk_ipi_c261_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,from_2023,42,-0.02757739779424534,0.2151118622365639,-0.12820026523650185,0.8979904901741643,0.9458921175827353
uk_ipi_c261_12m_pct,hk_ppi_tech_12m_pct,full,197,-0.041966705306954136,0.09681485299066502,-0.433473831861322,0.6646705728616276,0.9122008749969779
uk_ipi_c261_12m_pct,hk_ppi_tech_12m_pct,from_2023,42,0.09072395735422431,0.2349254337610832,0.386181929737287,0.6993619356648393,0.9481448640954049
uk_ipi_c261_noneu_12m_pct,jp_epi_electronics_yen_12m_pct,full,197,0.008279841459290428,0.05299532054953342,0.1562372181813952,0.8758460410735736,0.8636932878703898
uk_ipi_c261_noneu_12m_pct,jp_epi_electronics_yen_12m_pct,from_2023,42,-0.34619745500528887,0.06825022086175282,-5.072473768349322,3.926772784236389e-07,0.9527275490522017
uk_ipi_c261_noneu_12m_pct,kr_epi_tech_12m_pct,full,70,-0.013286937445566367,0.023848818905388005,-0.5571318855779704,0.5774373236072616,0.9187178905026205
uk_ipi_c261_noneu_12m_pct,kr_epi_tech_12m_pct,from_2023,31,,,,,
uk_ipi_c261_noneu_12m_pct,cn_ppi_tech_12m_pct,full,52,0.8321716206795682,0.2445161507690543,3.4033400986487594,0.0006656736425919473,0.952760833033675
uk_ipi_c261_noneu_12m_pct,cn_ppi_tech_12m_pct,from_2023,36,2.1739330634424348,0.8729151168658761,2.4904289333970384,0.012758900922147251,0.9037110721733232
uk_ipi_c261_noneu_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,full,197,0.2069704350068673,0.08383661467232854,2.4687355973974077,0.013559136281156547,0.8828582856252637
uk_ipi_c261_noneu_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,from_2023,42,0.2325823189420018,0.2362503555182665,0.984473942618126,0.32488253730916766,0.8970049521476163
uk_ipi_c261_noneu_12m_pct,hk_ppi_tech_12m_pct,full,197,-0.07739999689331972,0.21490002894101165,-0.36016745681577084,0.718721909580453,0.8871556308294756
uk_ipi_c261_noneu_12m_pct,hk_ppi_tech_12m_pct,from_2023,42,-0.06077289132987129,0.38490378050455504,-0.15789112606326322,0.8745425907286604,0.9154440373883205
uk_ipi_c262_12m_pct,jp_epi_electronics_yen_12m_pct,full,188,0.013843393056153966,0.08384675623386462,0.16510350164939117,0.868862516919654,0.828549666620279
uk_ipi_c262_12m_pct,jp_epi_electronics_yen_12m_pct,from_2023,33,,,,,
uk_ipi_c262_12m_pct,kr_epi_tech_12m_pct,full,61,0.05911968563749187,0.025963570701588605,2.277024463121114,0.02278476482156049,0.8976973793578875
