method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_18,search_max_lead,n,ar_lags
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,8,0.09573567524449235,0.027447845281730835,1.0,1.0,18,35,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,9,0.37395058060913844,0.3687813704840032,0.5,1.0,18,34,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,10,0.053110887276951776,-0.00804088506747367,1.0,1.0,18,33,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,11,0.0817438287983894,0.1504402478988458,0.5,1.0,18,32,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,12,0.13001665632834172,0.16244302123900198,0.5,1.0,18,31,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,13,-0.1065248150682353,-0.02386267216155709,0.5,1.0,18,30,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,14,-0.2891440318937715,-0.317360214108616,0.5,1.0,18,29,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,15,0.1430424868581506,0.20861480529538867,0.5,1.0,18,28,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,16,0.14443059838598404,0.15681174682032561,0.5,1.0,18,27,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,17,-0.09834737434256939,-0.09841016440519369,1.0,1.0,18,26,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,18,-0.21558612030839944,-0.21558612030839944,1.0,1.0,18,25,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,0,-0.0455149921417064,-0.08816290519918764,0.5555555555555556,1.0,18,59,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,1,0.07405429548151747,0.16510578083524638,0.2222222222222222,1.0,18,58,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,2,-0.10116749599498862,-0.009567154691171526,0.8888888888888888,1.0,18,57,12
