outcome,horizon,n,response_pp_per_innovation_sd,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
uk_ipi_c261_12m_pct,8,146,1.2142390243826693,1.227965697919571,-0.8057645486950249,3.2342425974603635,0.32275042691015554,0.4798886405686985,0.4661950610924469
uk_ipi_c261_12m_pct,9,146,0.9775236613624902,1.2902142901279474,-1.144878845897983,3.0999261686229636,0.4486638786249423,0.4090214438903277,0.583263042212425
uk_ipi_c261_12m_pct,10,145,0.5630538405747938,1.3226034321526685,-1.612628805316346,2.7387364864659336,0.6703145826156572,0.3426968363610743,0.726174131166962
uk_ipi_c261_12m_pct,11,144,0.07815810338396462,1.3108724979732098,-2.0782271557819656,2.234543362549895,0.9524559285010445,0.2777742878381214,0.9524559285010445
uk_ipi_c261_12m_pct,12,143,-0.881967125911677,1.3819266475213274,-3.1552364610842605,1.3913022092609064,0.5233333524026951,0.21033811584394468,0.618484871021367
uk_ipi_c262_12m_pct,0,146,1.8565890505004445,0.6613862845829054,0.7686086123615652,2.944569488639324,0.004998699624653705,0.853855240629863,0.06498309512049816
uk_ipi_c262_12m_pct,1,145,2.607366458860003,1.292977016881501,0.480419266089934,4.734313651630073,0.043741392228741474,0.7070744416120271,0.25160129091563543
uk_ipi_c262_12m_pct,2,144,2.595424083512833,1.369450166796806,0.3426785591320871,4.848169607893579,0.05806183636514665,0.5657603830899557,0.25160129091563543
uk_ipi_c262_12m_pct,3,143,2.1806796826155357,1.37728734537944,-0.08495800053364322,4.446317365764715,0.1133496907793023,0.434114919562943,0.294709196026186
uk_ipi_c262_12m_pct,4,142,1.5853977139824424,1.571226110774006,-0.9992692382407973,4.170064666205683,0.3129653039279864,0.32326501063499236,0.5085686188829779
uk_ipi_c262_12m_pct,5,141,1.029149767577166,1.9146271005990898,-2.120411812908337,4.178711348062668,0.5909086870426166,0.2501590434605836,0.7681812931554015
uk_ipi_c262_12m_pct,6,140,0.3874000079651464,2.281071486318999,-3.3649625870296074,4.1397626029599,0.8651418893862632,0.2047720858527522,0.9372370468351184
