page_url,title,release_date,date,file_url,suffix,file
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10064437&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - April 2021,2021-05-14,2021-04-01,https://www.bok.or.kr/fileSrc/eng/eca369989215bab1eaeedc47dcb39b2b/3/202105121113170482.xlsx,.xlsx,202104.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10064907&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - May 2021,2021-06-11,2021-05-01,https://www.bok.or.kr/fileSrc/eng/0ad00b55bae3bc7d2ee02e37b0062bc6/3/202106100931501312.xlsx,.xlsx,202105.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10065469&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - June 2021,2021-07-14,2021-06-01,https://www.bok.or.kr/fileSrc/eng/263ac3806ec94b2ca313a9cc85209c49/3/202107120342165372.xlsx,.xlsx,202106.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10065987&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - July 2021,2021-08-13,2021-07-01,https://www.bok.or.kr/fileSrc/eng/d8a9987b4a558cbd0cd3513c6ac50c29/3/202108110241572512.xlsx,.xlsx,202107.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10066483&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Aug 2021,2021-09-14,2021-08-01,https://www.bok.or.kr/fileSrc/eng/8c14e87e27108479774d14d4d4235ba5/3/202109100518273832.xlsx,.xlsx,202108.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10066958&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Sep 2021,2021-10-14,2021-09-01,https://www.bok.or.kr/fileSrc/eng/8c1ce40e7d39db6059a481a0970cd903/3/202110120422010132.xlsx,.xlsx,202109.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10067427&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Oct 2021,2021-11-12,2021-10-01,https://www.bok.or.kr/fileSrc/eng/a926cc5a394d20aa05048a9eeedbe822/3/202111100224516062.xlsx,.xlsx,202110.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10067898&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Nov 2021,2021-12-14,2021-11-01,https://www.bok.or.kr/fileSrc/eng/d2d0bc503db1c3d5c773c70bd88ddb67/3/202112130921136562.xlsx,.xlsx,202111.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10068466&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Dec 2021,2022-01-13,2021-12-01,https://www.bok.or.kr/fileSrc/eng/b710b7e42149941d1ebb43490a7994c5/3/202201110458031472.xlsx,.xlsx,202112.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10069021&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Jan 2022,2022-02-15,2022-01-01,https://www.bok.or.kr/fileSrc/eng/3bc6db59ee8057ee140494dccaa84761/3/202301061032190742.xlsx,.xlsx,202201.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10069491&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Feb. 2022,2022-03-15,2022-02-01,https://www.bok.or.kr/fileSrc/eng/9db52ed522bdd13e22d81dd30805747a/3/202203140124287741.xlsx,.xlsx,202202.xlsx
