date,kr_epi_tech,kr_epi_tech_12m_pct,kr_epi_all,kr_epi_all_12m_pct,coverage_version,release_date,source_page,source_file,local_file
2021-04-01,84.94,0.1,104.01,10.6,computers_electronic_optical,2021-05-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10064437&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/eca369989215bab1eaeedc47dcb39b2b/3/202105121113170482.xlsx,202104.xlsx
2021-05-01,85.18,1.6,106.06,12.3,computers_electronic_optical,2021-06-11,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10064907&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/0ad00b55bae3bc7d2ee02e37b0062bc6/3/202106100931501312.xlsx,202105.xlsx
2021-06-01,85.91,4.4,107.12,12.7,computers_electronic_optical,2021-07-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10065469&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/263ac3806ec94b2ca313a9cc85209c49/3/202107120342165372.xlsx,202106.xlsx
2021-07-01,90.32,11.2,111.19,16.9,computers_electronic_optical,2021-08-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10065987&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/d8a9987b4a558cbd0cd3513c6ac50c29/3/202108110241572512.xlsx,202107.xlsx
2021-08-01,90.55,12.6,112.72,18.6,computers_electronic_optical,2021-09-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10066483&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/8c14e87e27108479774d14d4d4235ba5/3/202109100518273832.xlsx,202108.xlsx
2021-09-01,90.12,11.5,114.18,20.2,computers_electronic_optical,2021-10-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10066958&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/8c1ce40e7d39db6059a481a0970cd903/3/202110120422010132.xlsx,202109.xlsx
2021-10-01,87.86,12.8,116.18,25.3,computers_electronic_optical,2021-11-12,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10067427&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/a926cc5a394d20aa05048a9eeedbe822/3/202111100224516062.xlsx,202110.xlsx
2021-11-01,87.46,13.9,115.8,25.5,computers_electronic_optical,2021-12-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10067898&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/d2d0bc503db1c3d5c773c70bd88ddb67/3/202112130921136562.xlsx,202111.xlsx
2021-12-01,87.55,15.4,114.64,23.5,computers_electronic_optical,2022-01-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10068466&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/b710b7e42149941d1ebb43490a7994c5/3/202201110458031472.xlsx,202112.xlsx
2022-01-01,85.52,10.9,116.01,22.3,computers_electronic_optical,2022-02-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10069021&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/3bc6db59ee8057ee140494dccaa84761/3/202301061032190742.xlsx,202201.xlsx
