STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-08-03T06:01:20.699+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,PR01
PARAMETER,STARTDATE,199501
PARAMETER,ENDDATE,202612
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200310,189.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200311,188.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200312,186.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200401,184.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200402,185
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200403,186.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200404,183.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200405,189.2
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200406,186.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200407,185.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200408,185.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200409,184.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200410,181.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200411,177.5
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200412,176.4
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200501,178.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200502,178.4
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200503,177
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200504,175.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200505,172.9
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200506,173.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200507,176.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,200508,174.3
